Production Date,Units Produced,Operational Costs,Equipment Downtime
2019-01-02,139,3461,0
2019-01-03,138,1245,2
2019-01-04,176,1582,0
2019-01-05,70,1042,3
2019-01-06,162,2380,2
2019-01-07,51,4507,2
2019-01-08,106,2568,2
2019-01-09,81,4887,0
2019-01-10,118,2637,2
2019-01-11,127,2024,2
2019-01-12,72,2263,2
2019-01-13,101,2221,2
2019-01-14,122,3679,1
2019-01-15,83,1151,0
2019-01-16,102,4464,0
2019-01-17,94,1649,2
2019-01-18,99,4014,3
2019-01-19,154,2749,3
2019-01-20,70,2268,2
2019-01-21,56,1129,1
2019-01-22,78,3617,3
2019-01-23,188,4977,0
2019-01-24,198,1674,0
2019-01-25,129,1820,1
2019-01-26,186,1095,0
2019-01-27,163,4726,0
2019-01-28,96,1507,0
2019-01-29,169,1094,3
2019-01-30,154,1450,2
2019-01-31,105,1985,1
2019-02-01,81,3035,1
2019-02-02,110,2421,3
2019-02-03,55,3839,3
2019-02-04,177,4288,2
2019-02-05,70,1130,1
2019-02-06,66,2718,0
2019-02-07,83,3868,3
2019-02-08,128,1115,1
2019-02-09,156,3381,1
2019-02-10,119,3188,2
2019-02-11,178,4063,3
2019-02-12,98,3188,1
2019-02-13,123,4849,1
2019-02-14,132,1580,2
2019-02-15,154,2571,2
2019-02-16,196,2985,0
2019-02-17,52,4761,0
2019-02-18,176,1679,1
2019-02-19,185,4321,0
2019-02-20,90,4155,0
2019-02-21,196,4288,2
2019-02-22,181,1222,0
2019-02-23,94,4017,1
2019-02-24,65,1901,0
2019-02-25,83,2213,0
2019-02-26,59,3447,2
2019-02-27,136,3032,0
2019-02-28,139,2229,0
2019-03-01,147,3282,1
2019-03-02,65,2647,3
2019-03-03,125,3098,0
2019-03-04,105,3015,1
2019-03-05,197,3685,0
2019-03-06,191,2442,0
2019-03-07,134,2686,3
2019-03-08,113,2716,2
2019-03-09,127,2718,2
2019-03-10,85,4957,1
2019-03-11,174,1043,1
2019-03-12,176,1042,0
2019-03-13,173,1940,3
2019-03-14,129,2943,2
2019-03-15,96,2838,1
2019-03-16,112,4645,3
2019-03-17,85,3863,3
2019-03-18,117,4950,1
2019-03-19,110,2249,3
2019-03-20,56,3209,2
2019-03-21,171,3120,0
2019-03-22,168,1487,2
2019-03-23,85,4359,1
2019-03-24,175,1071,2
2019-03-25,81,2368,0
2019-03-26,128,4522,3
2019-03-27,160,4547,0
2019-03-28,50,4525,1
2019-03-29,174,4009,1
2019-03-30,132,4535,3
2019-03-31,57,1093,3
2019-04-01,187,4900,3
2019-04-02,126,1425,2
2019-04-03,123,2081,1
2019-04-04,138,1169,0
2019-04-05,186,2617,0
2019-04-06,164,1742,2
2019-04-07,175,1359,3
2019-04-08,60,3590,1
2019-04-09,67,1621,2
2019-04-10,145,2089,3
2019-04-11,108,1404,3
2019-04-12,132,2644,3
2019-04-13,140,4379,3
2019-04-14,96,3083,0
2019-04-15,74,1396,2
2019-04-16,189,1971,1
2019-04-17,94,1253,3
2019-04-18,153,2201,0
2019-04-19,134,1755,3
2019-04-20,187,4170,1
2019-04-21,52,2155,3
2019-04-22,138,3854,0
2019-04-23,107,4214,0
2019-04-24,128,3990,2
2019-04-25,191,1629,0
2019-04-26,104,1753,3
2019-04-27,77,3413,2
2019-04-28,100,2120,3
2019-04-29,186,2899,3
2019-04-30,85,3404,3
2019-05-01,194,1986,0
2019-05-02,143,2584,3
2019-05-03,166,1330,2
2019-05-04,84,1848,2
2019-05-05,156,3623,0
2019-05-06,107,2370,2
2019-05-07,182,2621,3
2019-05-08,189,4358,0
2019-05-09,123,2612,3
2019-05-10,66,2608,1
2019-05-11,86,4861,3
2019-05-12,87,2981,1
2019-05-13,69,2699,1
2019-05-14,180,3322,2
2019-05-15,154,3444,1
2019-05-16,121,2245,1
2019-05-17,81,3960,2
2019-05-18,167,2643,1
2019-05-19,155,4545,2
2019-05-20,194,1857,0
2019-05-21,155,2902,0
2019-05-22,94,2308,1
2019-05-23,198,4019,1
2019-05-24,117,1856,2
2019-05-25,189,4301,2
2019-05-26,59,4082,1
2019-05-27,84,2408,0
2019-05-28,104,3184,2
2019-05-29,187,1444,3
2019-05-30,193,2245,3
2019-05-31,176,1617,3
2019-06-01,66,3649,1
2019-06-02,193,2466,1
2019-06-03,196,3664,3
2019-06-04,163,3698,0
2019-06-05,163,4469,3
2019-06-06,63,3493,0
2019-06-07,156,1239,2
2019-06-08,125,3981,3
2019-06-09,52,1834,2
2019-06-10,179,4478,3
2019-06-11,79,3490,1
2019-06-12,195,1658,0
2019-06-13,127,1748,3
2019-06-14,186,1982,2
2019-06-15,177,3565,0
2019-06-16,97,4508,2
2019-06-17,107,3687,0
2019-06-18,71,1457,3
2019-06-19,149,1312,3
2019-06-20,144,3474,1
2019-06-21,104,4998,0
2019-06-22,72,2344,3
2019-06-23,154,4501,2
2019-06-24,179,3052,1
2019-06-25,101,4642,3
2019-06-26,135,3994,1
2019-06-27,135,2113,2
2019-06-28,172,2859,1
2019-06-29,188,4745,2
2019-06-30,153,2526,0
2019-07-01,72,4408,1
2019-07-02,157,2039,2
2019-07-03,138,3460,2
2019-07-04,119,2274,2
2019-07-05,67,1826,2
2019-07-06,124,4464,0
2019-07-07,54,4429,0
2019-07-08,76,1564,2
2019-07-09,193,3672,3
2019-07-10,194,3768,0
2019-07-11,143,1434,3
2019-07-12,67,3803,0
2019-07-13,171,1166,2
2019-07-14,147,1964,0
2019-07-15,141,3325,2
2019-07-16,130,2959,3
2019-07-17,93,4514,1
2019-07-18,92,1961,3
2019-07-19,140,1442,1
2019-07-20,117,1544,1
2019-07-21,96,4939,3
2019-07-22,66,1361,2
2019-07-23,183,3311,3
2019-07-24,105,4186,0
2019-07-25,139,2381,0
2019-07-26,61,1003,3
2019-07-27,96,3132,2
2019-07-28,156,1781,2
2019-07-29,125,2755,3
2019-07-30,135,2525,0
2019-07-31,52,4051,0
2019-08-01,128,1801,3
2019-08-02,100,4462,0
2019-08-03,113,2062,3
2019-08-04,87,4050,0
2019-08-05,52,1254,0
2019-08-06,95,4482,3
2019-08-07,199,4078,0
2019-08-08,60,3336,3
2019-08-09,75,2160,1
2019-08-10,60,2032,2
2019-08-11,156,1978,0
2019-08-12,107,4454,3
2019-08-13,74,2828,2
2019-08-14,121,3531,2
2019-08-15,123,2574,3
2019-08-16,143,4398,2
2019-08-17,100,1263,1
2019-08-18,179,1657,0
2019-08-19,86,1676,1
2019-08-20,158,4269,2
2019-08-21,108,2331,2
2019-08-22,137,1497,0
2019-08-23,178,3157,3
2019-08-24,156,2809,0
2019-08-25,78,3663,0
2019-08-26,76,3914,2
2019-08-27,98,1773,3
2019-08-28,159,3361,3
2019-08-29,71,1956,0
2019-08-30,177,1323,1
2019-08-31,169,2834,0
2019-09-01,180,3043,3
2019-09-02,138,3442,0
2019-09-03,54,1625,3
2019-09-04,194,1728,0
2019-09-05,127,3150,1
2019-09-06,110,1232,0
2019-09-07,106,3915,3
2019-09-08,181,2134,1
2019-09-09,155,4113,1
2019-09-10,146,3465,0
2019-09-11,109,1262,1
2019-09-12,114,2688,3
2019-09-13,91,2875,0
2019-09-14,89,1607,0
2019-09-15,137,1269,1
2019-09-16,55,4353,2
2019-09-17,70,4778,1
2019-09-18,174,2992,3
2019-09-19,159,1403,1
2019-09-20,54,4269,1
2019-09-21,52,1843,2
2019-09-22,78,3247,1
2019-09-23,131,1488,3
2019-09-24,192,3805,3
2019-09-25,139,4966,2
2019-09-26,125,4444,2
2019-09-27,169,2237,0
2019-09-28,121,1851,0
2019-09-29,77,3299,2
2019-09-30,93,4932,3
2019-10-01,89,1319,1
2019-10-02,57,4029,1
2019-10-03,161,3662,1
2019-10-04,97,1160,1
2019-10-05,164,1564,3
2019-10-06,178,1231,1
2019-10-07,60,1757,1
2019-10-08,97,2902,0
2019-10-09,135,3239,3
2019-10-10,135,4741,1
2019-10-11,183,4557,2
2019-10-12,198,2931,2
2019-10-13,83,2073,2
2019-10-14,187,3694,3
2019-10-15,188,4948,3
2019-10-16,190,1189,2
2019-10-17,132,1990,2
2019-10-18,115,4623,1
2019-10-19,188,4312,2
2019-10-20,151,1014,1
2019-10-21,196,4802,1
2019-10-22,144,2832,1
2019-10-23,166,3462,2
2019-10-24,150,4421,1
2019-10-25,104,2854,2
2019-10-26,152,3854,0
2019-10-27,131,3703,3
2019-10-28,188,1018,2
2019-10-29,154,2689,0
2019-10-30,184,2778,0
2019-10-31,106,1692,0
2019-11-01,154,4185,2
2019-11-02,195,2131,2
2019-11-03,78,1821,1
2019-11-04,137,2424,0
2019-11-05,176,1790,0
2019-11-06,110,4017,3
2019-11-07,135,4094,0
2019-11-08,87,1899,2
2019-11-09,109,4223,3
2019-11-10,159,3901,0
2019-11-11,66,3525,3
2019-11-12,110,2234,3
2019-11-13,119,3177,3
2019-11-14,53,4159,2
2019-11-15,57,4220,3
2019-11-16,70,2730,1
2019-11-17,143,4578,3
2019-11-18,62,3695,1
2019-11-19,120,4676,0
2019-11-20,81,2997,3
2019-11-21,187,2751,3
2019-11-22,96,3029,3
2019-11-23,71,2213,3
2019-11-24,98,2561,2
2019-11-25,193,1593,1
2019-11-26,100,1381,0
2019-11-27,93,2346,3
2019-11-28,125,4857,3
2019-11-29,72,1302,1
2019-11-30,191,2410,3
2019-12-01,50,2558,1
2019-12-02,197,1530,0
2019-12-03,86,3824,3
2019-12-04,178,1360,0
2019-12-05,70,1974,0
2019-12-06,173,2397,1
2019-12-07,193,2269,1
2019-12-08,135,1006,0
2019-12-09,92,3293,0
2019-12-10,163,1776,0
2019-12-11,174,2757,2
2019-12-12,171,2782,1
2019-12-13,75,3845,2
2019-12-14,64,2543,1
2019-12-15,92,4034,3
2019-12-16,119,3956,2
2019-12-17,194,1574,0
2019-12-18,75,4151,3
2019-12-19,156,3265,2
2019-12-20,169,1657,2
2019-12-21,66,2898,0
2019-12-22,145,3283,2
2019-12-23,99,2260,0
2019-12-24,180,3647,0
2019-12-25,75,1781,2
2019-12-26,63,4674,3
2019-12-27,128,4734,2
2019-12-28,186,1165,2
2019-12-29,55,3353,0
2019-12-30,81,2233,3
2019-12-31,165,3198,2
2020-01-01,69,3891,1
2020-01-02,100,2150,3
2020-01-03,59,3249,3
2020-01-04,164,2131,0
2020-01-05,56,3437,2
2020-01-06,177,1635,2
2020-01-07,80,2448,0
2020-01-08,129,1896,1
2020-01-09,118,3318,1
2020-01-10,142,3466,3
2020-01-11,186,1790,2
2020-01-12,184,1514,0
2020-01-13,155,3865,0
2020-01-14,171,2873,1
2020-01-15,192,4805,2
2020-01-16,191,1643,3
2020-01-17,116,2017,3
2020-01-18,110,1683,2
2020-01-19,72,3601,1
2020-01-20,119,1994,3
2020-01-21,65,4157,3
2020-01-22,183,1462,3
2020-01-23,61,4262,2
2020-01-24,98,1483,3
2020-01-25,106,2171,0
2020-01-26,193,1220,0
2020-01-27,66,2532,2
2020-01-28,138,2273,3
2020-01-29,197,3607,2
2020-01-30,124,1110,1
2020-01-31,76,1362,1
2020-02-01,51,4768,3
2020-02-02,140,1544,0
2020-02-03,141,4115,0
2020-02-04,196,2800,3
2020-02-05,174,4547,2
2020-02-06,179,3453,1
2020-02-07,113,1604,1
2020-02-08,193,2472,1
2020-02-09,56,3397,3
2020-02-10,156,4132,3
2020-02-11,64,2920,0
2020-02-12,137,4084,0
2020-02-13,147,1983,3
2020-02-14,145,3242,0
2020-02-15,119,2592,2
2020-02-16,141,2536,1
2020-02-17,58,4129,1
2020-02-18,182,4935,2
2020-02-19,111,2975,3
2020-02-20,84,2288,0
2020-02-21,143,2936,2
2020-02-22,62,2868,2
2020-02-23,175,1011,2
2020-02-24,73,2734,1
2020-02-25,79,1453,1
2020-02-26,132,1390,1
2020-02-27,179,4845,1
2020-02-28,153,2398,2
2020-02-29,168,2446,1
2020-03-01,130,3942,3
2020-03-02,105,3953,1
2020-03-03,147,2728,3
2020-03-04,119,1925,2
2020-03-05,90,2578,2
2020-03-06,95,4887,0
2020-03-07,78,2099,1
2020-03-08,160,4282,1
2020-03-09,154,2678,3
2020-03-10,64,2762,0
2020-03-11,163,1484,1
2020-03-12,57,2887,3
2020-03-13,64,3678,3
2020-03-14,58,3632,0
2020-03-15,69,1158,2
2020-03-16,53,4740,0
2020-03-17,135,2571,3
2020-03-18,194,4333,0
2020-03-19,80,3546,2
2020-03-20,142,2032,3
2020-03-21,173,2091,2
2020-03-22,125,1734,1
2020-03-23,82,1049,1
2020-03-24,196,3549,1
2020-03-25,190,1646,1
2020-03-26,174,4608,2
2020-03-27,68,4200,3
2020-03-28,104,1616,0
2020-03-29,65,2425,3
2020-03-30,137,2861,0
2020-03-31,119,4157,2
2020-04-01,165,1589,2
2020-04-02,110,2068,2
2020-04-03,85,4273,2
2020-04-04,142,1274,3
2020-04-05,104,2126,1
2020-04-06,151,3370,2
2020-04-07,85,1094,2
2020-04-08,114,4154,2
2020-04-09,65,1848,3
2020-04-10,79,1420,1
2020-04-11,131,3503,1
2020-04-12,53,1914,2
2020-04-13,106,2854,2
2020-04-14,163,4098,3
2020-04-15,101,2202,3
2020-04-16,85,1835,1
2020-04-17,185,3192,2
2020-04-18,176,1441,1
2020-04-19,176,2086,0
2020-04-20,138,2636,2
2020-04-21,125,4275,3
2020-04-22,90,1250,0
2020-04-23,132,2507,1
2020-04-24,152,4226,3
2020-04-25,66,4994,3
2020-04-26,137,1507,1
2020-04-27,192,2034,1
2020-04-28,56,1025,0
2020-04-29,120,4140,3
2020-04-30,157,3913,2
2020-05-01,136,2318,3
2020-05-02,103,3300,1
2020-05-03,69,1229,1
2020-05-04,134,1940,0
2020-05-05,51,1309,0
2020-05-06,159,2707,0
2020-05-07,99,3165,2
2020-05-08,138,3407,1
2020-05-09,157,4572,3
2020-05-10,103,4103,1
2020-05-11,167,4200,2
2020-05-12,92,4525,3
2020-05-13,175,4242,3
2020-05-14,128,2194,2
2020-05-15,177,2701,3
2020-05-16,63,2774,3
2020-05-17,76,4922,1
2020-05-18,65,1571,1
2020-05-19,192,4781,2
2020-05-20,180,1938,1
2020-05-21,75,2761,3
2020-05-22,137,1628,1
2020-05-23,174,4591,3
2020-05-24,79,1362,0
2020-05-25,91,4388,2
2020-05-26,151,3075,0
2020-05-27,114,4181,2
2020-05-28,145,2207,2
2020-05-29,85,4981,1
2020-05-30,191,4463,0
2020-05-31,174,4897,2
2020-06-01,186,2108,2
2020-06-02,81,4357,1
2020-06-03,101,3463,2
2020-06-04,169,2538,3
2020-06-05,61,1924,3
2020-06-06,115,2483,3
2020-06-07,61,1540,1
2020-06-08,61,4301,0
2020-06-09,113,2227,2
2020-06-10,141,1012,3
2020-06-11,90,2186,1
2020-06-12,54,3951,1
2020-06-13,184,3864,0
2020-06-14,88,2304,3
2020-06-15,83,1305,3
2020-06-16,179,1098,0
2020-06-17,193,3473,0
2020-06-18,168,3747,1
2020-06-19,199,2608,0
2020-06-20,159,2377,3
2020-06-21,113,3586,0
2020-06-22,53,3889,3
2020-06-23,67,1223,0
2020-06-24,86,2763,2
2020-06-25,50,4029,1
2020-06-26,100,3978,0
2020-06-27,145,3275,3
2020-06-28,95,2446,1
2020-06-29,199,2322,0
2020-06-30,53,4939,3
2020-07-01,106,2574,3
2020-07-02,78,4796,2
2020-07-03,184,2163,2
2020-07-04,99,2783,0
2020-07-05,151,4700,0
2020-07-06,119,4616,2
2020-07-07,59,3512,0
2020-07-08,70,1194,0
2020-07-09,64,1787,2
2020-07-10,79,2377,0
2020-07-11,190,1422,1
2020-07-12,93,2412,0
2020-07-13,84,3713,0
2020-07-14,194,1118,0
2020-07-15,161,3777,1
2020-07-16,142,4359,1
2020-07-17,120,2204,0
2020-07-18,52,4533,1
2020-07-19,122,2331,0
2020-07-20,168,1342,0
2020-07-21,140,2086,1
2020-07-22,148,3778,0
2020-07-23,100,3543,1
2020-07-24,198,2459,3
2020-07-25,194,4908,2
2020-07-26,191,3564,3
2020-07-27,86,2888,2
2020-07-28,66,3129,3
2020-07-29,159,2585,1
2020-07-30,119,4562,3
2020-07-31,80,3984,2
2020-08-01,138,1649,2
2020-08-02,90,4460,2
2020-08-03,124,1573,2
2020-08-04,197,1629,3
2020-08-05,93,1214,3
2020-08-06,76,2908,3
2020-08-07,167,3341,3
2020-08-08,68,3319,0
2020-08-09,86,1797,3
2020-08-10,102,2363,1
2020-08-11,145,4660,0
2020-08-12,100,1376,1
2020-08-13,156,4717,1
2020-08-14,196,4333,1
2020-08-15,151,1341,0
2020-08-16,65,4033,3
2020-08-17,63,3442,0
2020-08-18,124,2417,2
2020-08-19,154,2234,0
2020-08-20,199,2997,3
2020-08-21,57,3371,2
2020-08-22,158,2069,0
2020-08-23,153,3537,2
2020-08-24,107,3173,1
2020-08-25,167,3871,3
2020-08-26,161,3811,0
2020-08-27,196,1736,3
2020-08-28,148,4513,1
2020-08-29,122,2713,0
2020-08-30,174,2008,2
2020-08-31,70,3265,0
2020-09-01,189,2210,1
2020-09-02,197,1081,0
2020-09-03,64,3887,2
2020-09-04,191,2612,0
2020-09-05,123,2353,0
2020-09-06,119,1068,0
2020-09-07,50,1264,2
2020-09-08,120,2886,3
2020-09-09,182,1256,3
2020-09-10,112,3095,1
2020-09-11,94,1283,0
2020-09-12,135,2607,1
2020-09-13,116,1751,2
2020-09-14,161,3993,3
2020-09-15,153,2233,2
2020-09-16,177,2020,2
2020-09-17,68,4669,1
2020-09-18,97,2286,0
2020-09-19,65,4841,1
2020-09-20,118,1031,3
2020-09-21,108,3697,0
2020-09-22,143,4993,2
2020-09-23,58,1708,2
2020-09-24,94,4769,3
2020-09-25,101,4149,0
2020-09-26,197,4680,3
2020-09-27,116,4525,0
2020-09-28,195,1913,1
2020-09-29,86,4391,2
2020-09-30,174,3015,2
2020-10-01,121,2017,0
2020-10-02,62,3347,1
2020-10-03,74,1721,2
2020-10-04,119,3672,3
2020-10-05,130,2591,0
2020-10-06,85,3248,3
2020-10-07,82,3091,1
2020-10-08,179,4916,1
2020-10-09,106,2013,2
2020-10-10,169,2839,3
2020-10-11,122,3300,1
2020-10-12,116,2988,2
2020-10-13,99,3257,3
2020-10-14,138,3628,3
2020-10-15,75,4092,0
2020-10-16,113,4177,0
2020-10-17,106,4888,0
2020-10-18,98,2953,3
2020-10-19,163,4568,3
2020-10-20,119,3028,1
2020-10-21,165,1502,0
2020-10-22,99,2188,0
2020-10-23,121,1070,1
2020-10-24,105,1993,0
2020-10-25,57,2689,0
2020-10-26,177,4203,1
2020-10-27,180,4746,0
2020-10-28,133,4290,1
2020-10-29,197,1321,3
2020-10-30,90,2205,3
2020-10-31,112,4265,1
2020-11-01,84,3949,3
2020-11-02,111,2457,0
2020-11-03,194,2393,1
2020-11-04,122,2824,3
2020-11-05,68,1783,0
2020-11-06,153,2002,1
2020-11-07,195,2789,0
2020-11-08,125,4816,2
2020-11-09,115,4040,1
2020-11-10,81,3478,3
2020-11-11,148,1286,1
2020-11-12,168,4412,3
2020-11-13,166,1200,0
2020-11-14,90,4565,0
2020-11-15,184,2959,0
2020-11-16,94,2108,0
2020-11-17,157,2265,2
2020-11-18,178,2405,1
2020-11-19,162,3577,2
2020-11-20,147,3039,0
2020-11-21,161,1796,2
2020-11-22,168,1489,2
2020-11-23,179,3535,3
2020-11-24,153,4889,1
2020-11-25,176,3857,2
2020-11-26,132,4748,0
2020-11-27,116,2815,0
2020-11-28,71,4038,0
2020-11-29,99,3060,1
2020-11-30,188,3052,1
2020-12-01,181,4419,1
2020-12-02,65,1485,1
2020-12-03,114,1887,0
2020-12-04,152,1073,0
2020-12-05,179,1543,2
2020-12-06,168,4101,3
2020-12-07,173,3945,1
2020-12-08,84,3580,1
2020-12-09,95,1717,1
2020-12-10,156,2395,2
2020-12-11,105,2258,1
2020-12-12,149,2380,2
2020-12-13,198,3850,0
2020-12-14,55,1219,2
2020-12-15,151,4511,2
2020-12-16,64,4883,1
2020-12-17,77,3938,3
2020-12-18,69,3536,2
2020-12-19,120,3686,1
2020-12-20,97,1667,2
2020-12-21,65,4663,1
2020-12-22,59,3825,2
2020-12-23,108,4161,2
2020-12-24,171,3422,2
2020-12-25,85,4379,3
2020-12-26,135,1326,0
2020-12-27,107,1321,3
2020-12-28,157,2012,1
2020-12-29,136,3854,3
2020-12-30,104,1388,1
2020-12-31,53,3269,1
2021-01-01,153,3775,2
2021-01-02,179,2658,2
2021-01-03,109,1377,2
2021-01-04,91,4272,0
2021-01-05,136,4873,1
2021-01-06,121,4326,2
2021-01-07,141,4259,2
2021-01-08,83,3092,1
2021-01-09,122,4059,3
2021-01-10,99,3866,2
2021-01-11,76,2348,2
2021-01-12,171,3068,0
2021-01-13,194,3981,0
2021-01-14,158,2530,0
2021-01-15,77,4465,2
2021-01-16,79,4696,1
2021-01-17,199,4385,0
2021-01-18,79,3845,3
2021-01-19,112,2217,0
2021-01-20,95,1643,0
2021-01-21,113,2030,0
2021-01-22,59,3440,2
2021-01-23,86,1931,0
2021-01-24,63,4074,1
2021-01-25,152,1168,2
2021-01-26,80,4586,0
2021-01-27,74,3571,3
2021-01-28,112,4099,0
2021-01-29,115,1329,3
2021-01-30,118,1028,2
2021-01-31,136,4736,2
2021-02-01,106,4800,3
2021-02-02,189,3966,3
2021-02-03,51,3856,1
2021-02-04,139,4473,0
2021-02-05,173,2000,3
2021-02-06,145,4455,2
2021-02-07,62,3872,1
2021-02-08,76,1104,1
2021-02-09,155,2842,2
2021-02-10,177,1327,0
2021-02-11,60,3933,1
2021-02-12,164,2434,0
2021-02-13,150,1337,2
2021-02-14,142,4209,0
2021-02-15,98,2022,1
2021-02-16,89,4296,2
2021-02-17,59,4605,3
2021-02-18,96,2911,0
2021-02-19,177,2462,1
2021-02-20,67,3583,1
2021-02-21,133,4711,1
2021-02-22,196,3675,3
2021-02-23,63,3938,0
2021-02-24,146,3512,2
2021-02-25,93,4848,3
2021-02-26,162,2402,0
2021-02-27,194,1935,0
2021-02-28,59,2204,0
2021-03-01,67,1509,1
2021-03-02,197,4350,3
2021-03-03,181,2337,0
2021-03-04,77,3114,3
2021-03-05,91,3359,3
2021-03-06,107,1514,2
2021-03-07,129,2341,1
2021-03-08,184,4706,2
2021-03-09,164,4411,0
2021-03-10,55,3361,1
2021-03-11,137,2271,3
2021-03-12,146,2971,2
2021-03-13,163,2836,2
2021-03-14,199,4664,3
2021-03-15,189,1842,3
2021-03-16,182,2950,2
2021-03-17,189,4179,0
2021-03-18,117,3762,3
2021-03-19,168,1378,0
2021-03-20,151,1498,2
2021-03-21,70,3778,3
2021-03-22,54,3035,0
2021-03-23,91,3470,2
2021-03-24,54,3573,1
2021-03-25,181,3823,1
2021-03-26,82,4853,3
2021-03-27,133,1358,0
2021-03-28,50,2314,2
2021-03-29,54,2428,2
2021-03-30,198,3696,1
2021-03-31,119,3559,3
2021-04-01,108,3631,2
2021-04-02,52,4229,1
2021-04-03,138,2875,2
2021-04-04,142,4253,2
2021-04-05,83,2750,3
2021-04-06,172,3581,2
2021-04-07,125,4572,3
2021-04-08,96,3462,1
2021-04-09,169,2667,1
2021-04-10,77,4649,1
2021-04-11,95,1067,0
2021-04-12,80,4022,2
2021-04-13,151,4302,2
2021-04-14,179,1002,3
2021-04-15,102,1594,0
2021-04-16,64,3798,3
2021-04-17,82,4851,2
2021-04-18,103,2874,3
2021-04-19,65,2314,0
2021-04-20,136,4006,0
2021-04-21,132,1729,1
2021-04-22,85,4116,3
2021-04-23,117,1199,2
2021-04-24,62,4179,2
2021-04-25,154,2178,3
2021-04-26,88,1173,2
2021-04-27,139,3905,2
2021-04-28,90,2889,1
2021-04-29,62,2436,1
2021-04-30,182,4072,2
2021-05-01,119,1785,3
2021-05-02,168,1890,2
2021-05-03,99,2059,2
2021-05-04,152,1018,1
2021-05-05,173,2240,1
2021-05-06,184,4620,2
2021-05-07,78,1270,0
2021-05-08,75,4844,2
2021-05-09,77,1223,1
2021-05-10,54,3006,0
2021-05-11,151,4492,3
2021-05-12,67,1860,2
2021-05-13,160,2845,3
2021-05-14,61,2544,1
2021-05-15,125,4081,1
2021-05-16,198,4720,1
2021-05-17,101,4833,2
2021-05-18,184,2244,2
2021-05-19,163,1986,0
2021-05-20,85,1131,0
2021-05-21,93,4848,2
2021-05-22,97,4935,0
2021-05-23,140,1686,3
2021-05-24,112,2419,0
2021-05-25,103,4610,2
2021-05-26,61,1067,2
2021-05-27,108,4900,1
2021-05-28,56,3458,1
2021-05-29,159,4793,3
2021-05-30,140,2613,0
2021-05-31,194,4152,1
2021-06-01,63,3378,1
2021-06-02,98,2838,1
2021-06-03,115,3075,1
2021-06-04,76,4155,1
2021-06-05,108,2823,2
2021-06-06,85,1127,0
2021-06-07,138,1492,1
2021-06-08,190,3955,1
2021-06-09,118,1506,2
2021-06-10,158,4706,1
2021-06-11,162,2288,0
2021-06-12,148,3937,2
2021-06-13,95,4802,0
2021-06-14,101,4786,2
2021-06-15,162,2331,1
2021-06-16,157,1564,3
2021-06-17,95,4890,3
2021-06-18,162,2992,0
2021-06-19,174,2538,2
2021-06-20,192,1125,2
2021-06-21,168,1844,2
2021-06-22,58,1996,3
2021-06-23,50,1365,3
2021-06-24,188,3997,0
2021-06-25,183,4326,1
2021-06-26,96,1845,3
2021-06-27,180,3685,0
2021-06-28,190,4902,2
2021-06-29,72,3800,3
2021-06-30,87,2483,1
2021-07-01,149,4578,3
2021-07-02,161,3786,0
2021-07-03,174,3118,3
2021-07-04,99,4669,3
2021-07-05,71,1219,2
2021-07-06,137,1514,1
2021-07-07,127,4359,1
2021-07-08,115,2858,2
2021-07-09,85,1603,0
2021-07-10,59,4916,0
2021-07-11,153,4802,1
2021-07-12,97,1976,2
2021-07-13,166,4738,3
2021-07-14,139,2292,1
2021-07-15,182,4598,0
2021-07-16,187,4680,2
2021-07-17,162,1286,3
2021-07-18,152,4418,2
2021-07-19,112,4006,0
2021-07-20,150,4460,1
2021-07-21,166,2721,2
2021-07-22,98,2937,2
2021-07-23,60,1524,1
2021-07-24,79,4995,3
2021-07-25,127,3965,0
2021-07-26,158,1601,0
2021-07-27,74,1849,0
2021-07-28,120,2313,2
2021-07-29,112,2433,2
2021-07-30,135,3131,2
2021-07-31,52,2304,2
2021-08-01,155,2133,2
2021-08-02,99,1898,0
2021-08-03,73,3283,1
2021-08-04,160,1184,0
2021-08-05,74,3165,2
2021-08-06,63,3208,0
2021-08-07,165,4349,2
2021-08-08,118,4772,2
2021-08-09,101,3560,3
2021-08-10,173,3691,3
2021-08-11,53,4821,2
2021-08-12,56,4445,3
2021-08-13,167,3999,2
2021-08-14,103,3688,1
2021-08-15,81,4256,3
2021-08-16,108,4296,1
2021-08-17,64,2407,3
2021-08-18,189,1448,3
2021-08-19,144,4615,0
2021-08-20,85,2992,0
2021-08-21,183,1753,0
2021-08-22,159,2749,0
2021-08-23,116,4937,2
2021-08-24,130,1677,1
2021-08-25,87,1871,3
2021-08-26,179,1736,3
2021-08-27,171,3555,2
2021-08-28,149,2503,2
2021-08-29,126,1943,3
2021-08-30,124,2265,1
2021-08-31,144,1570,2
2021-09-01,86,3234,0
2021-09-02,196,2937,2
2021-09-03,62,4861,2
2021-09-04,63,1354,0
2021-09-05,180,1917,3
2021-09-06,113,2037,2
2021-09-07,151,1695,1
2021-09-08,102,3456,1
2021-09-09,134,4864,0
2021-09-10,195,1254,1
2021-09-11,100,1017,1
2021-09-12,197,4481,1
2021-09-13,194,3869,3
2021-09-14,196,3582,2
2021-09-15,176,2653,2
2021-09-16,123,4817,0
2021-09-17,192,4641,1
2021-09-18,68,2281,1
2021-09-19,128,2048,3
2021-09-20,100,1255,0
2021-09-21,125,2572,0
2021-09-22,101,1275,2
2021-09-23,84,4939,3
2021-09-24,144,2673,0
2021-09-25,150,2452,1
